연번,시도,시군구,읍면동,우편번호,주소,위도,경도
243,서울,강서구,등촌제2동,7671,서울특별시 강서구 등촌로 143,37.542666,126.8625233
244,서울,강서구,등촌제3동,7588,서울특별시 강서구 화곡로63길 96,37.5589249,126.847867
245,서울,강서구,화곡본동,7677,서울특별시 강서구 초록마을로5길 29,37.5440348,126.8476663
246,서울,강서구,화곡제1동,7772,서울특별시 강서구 곰달래로 79,37.5304826,126.8415998
247,서울,강서구,화곡제2동,7750,서울특별시 강서구 곰달래로37길 13,37.5318626,126.8545007
248,서울,강서구,화곡제3동,7713,서울특별시 강서구 강서로33가길 17,37.5425823,126.8384114
249,서울,강서구,화곡제4동,7740,서울특별시 강서구 곰달래로57가길 26,37.5345612,126.8607912
250,서울,강서구,화곡제6동,7658,서울특별시 강서구 공항대로46길 105,37.5507002,126.8511363
251,서울,강서구,화곡제8동,7757,서울특별시 강서구 곰달래로25길 45,37.5327086,126.8484029
252,서울,강서구,우장산동,7690,서울특별시 강서구 우현로 34,37.5482678,126.8418504
253,서울,강서구,가양제1동,7529,서울특별시 강서구 허준로 30,37.5695093,126.844772
254,서울,강서구,가양제2동,7525,서울특별시 강서구 허준로 93,37.5673449,126.8512857
255,서울,강서구,가양제3동,7532,서울특별시 강서구 허준로 202,37.5610638,126.8606001
256,서울,강서구,발산제1동,7633,서울특별시 강서구 강서로47길 54,37.5531502,126.8331822
257,서울,강서구,공항동,7627,서울특별시 강서구 송정로 45,37.5587825,126.8101136
258,서울,강서구,방화제1동,7597,서울특별시 강서구 방화대로 330,37.5590009,126.8167292
259,서울,강서구,방화제2동,7612,서울특별시 강서구 개화동로21길 52,37.5714106,126.8054206
260,서울,강서구,방화제3동,7511,서울특별시 강서구 금낭화로24길 5,37.5787056,126.813676
261,서울,구로구,신도림동,8211,서울특별시 구로구 신도림로 40,37.507756,126.8805903
262,서울,구로구,구로제1동,8324,서울특별시 구로구 구일로4길 57,37.4930394,126.8758097
263,서울,구로구,구로제2동,8309,서울특별시 구로구 구로동로 141,37.491301,126.8833119
264,서울,구로구,구로제3동,8372,서울특별시 구로구 디지털로31길 109,37.4874245,126.8903243
265,서울,구로구,구로제4동,8312,서울특별시 구로구 구로동로28길 94,37.4915957,126.8891502
266,서울,구로구,구로제5동,8299,서울특별시 구로구 구로중앙로28길 66,37.5000803,126.8893198
267,서울,구로구,가리봉동,8383,서울특별시 구로구 우마2길 35,37.4825577,126.8896851
268,서울,구로구,고척제1동,8225,서울특별시 구로구 중앙로3길 18-8,37.5004049,126.8627872
269,서울,구로구,고척제2동,8240,서울특별시 구로구 중앙로15길 22,37.5067037,126.8585765
270,서울,구로구,개봉제1동,8237,서울특별시 구로구 경인로33길 51,37.500011,126.8510262
271,서울,구로구,개봉제2동,8329,서울특별시 구로구 개봉로16가길 17,37.4908237,126.8565837
272,서울,구로구,개봉제3동,8353,서울특별시 구로구 개봉로3길 47-5,37.4859938,126.8538368
273,서울,구로구,오류제1동,8267,서울특별시 구로구 경인로27길 7,37.4970232,126.8451338
274,서울,구로구,오류제2동,8342,서울특별시 구로구 오류로 45,37.4887742,126.8395046
275,서울,구로구,수궁동,8256,서울특별시 구로구 오리로15길 32,37.493841,126.8314904
276,서울,구로구,항동,8368,서울특별시 구로구 연동로 191-19,37.4824917,126.8242653
277,서울,금천구,가산동,8516,서울특별시 금천구 가산로 129,37.4768685,126.891752
278,서울,금천구,독산제1동,8523,서울특별시 금천구 시흥대로123길 11 ,37.4702205,126.8970511
279,서울,금천구,독산제2동,8618,서울특별시 금천구 독산로 179,37.463144,126.9034801
280,서울,금천구,독산제3동,8541,서울특별시 금천구 독산로 317,37.4751471,126.9031766
281,서울,금천구,독산제4동,8558,서울특별시 금천구 독산로 232 ,37.46756,126.9021491
282,서울,금천구,시흥제1동,8628,서울특별시 금천구 시흥대로58길 36,37.4535561,126.9032569
283,서울,금천구,시흥제2동,8645,서울특별시 금천구 금하로 764 ,37.4496132,126.9145056
284,서울,금천구,시흥제3동,8653,서울특별시 금천구 시흥대로18길 40 ,37.4402761,126.9058266
